subject	activity	timeBodyAccMean-X	timeBodyAccMean-Y	timeBodyAccMean-Z	timeBodyAccStd-X	timeBodyAccStd-Y	timeBodyAccStd-Z	timeGravityAccMean-X	timeGravityAccMean-Y	timeGravityAccMean-Z	timeGravityAccStd-X	timeGravityAccStd-Y	timeGravityAccStd-Z	timeBodyAccJerkMean-X	timeBodyAccJerkMean-Y	timeBodyAccJerkMean-Z	timeBodyAccJerkStd-X	timeBodyAccJerkStd-Y	timeBodyAccJerkStd-Z	timeBodyGyroMean-X	timeBodyGyroMean-Y	timeBodyGyroMean-Z	timeBodyGyroStd-X	timeBodyGyroStd-Y	timeBodyGyroStd-Z	timeBodyGyroJerkMean-X	timeBodyGyroJerkMean-Y	timeBodyGyroJerkMean-Z	timeBodyGyroJerkStd-X	timeBodyGyroJerkStd-Y	timeBodyGyroJerkStd-Z	timeBodyAccMagMean	timeBodyAccMagStd	timeGravityAccMagMean	timeGravityAccMagStd	timeBodyAccJerkMagMean	timeBodyAccJerkMagStd	timeBodyGyroMagMean	timeBodyGyroMagStd	timeBodyGyroJerkMagMean	timeBodyGyroJerkMagStd	frequenceBodyAccMean-X	frequenceBodyAccMean-Y	frequenceBodyAccMean-Z	frequenceBodyAccStd-X	frequenceBodyAccStd-Y	frequenceBodyAccStd-Z	frequenceBodyAccMeanFreq-X	frequenceBodyAccMeanFreq-Y	frequenceBodyAccMeanFreq-Z	frequenceBodyAccJerkMean-X	frequenceBodyAccJerkMean-Y	frequenceBodyAccJerkMean-Z	frequenceBodyAccJerkStd-X	frequenceBodyAccJerkStd-Y	frequenceBodyAccJerkStd-Z	frequenceBodyAccJerkMeanFreq-X	frequenceBodyAccJerkMeanFreq-Y	frequenceBodyAccJerkMeanFreq-Z	frequenceBodyGyroMean-X	frequenceBodyGyroMean-Y	frequenceBodyGyroMean-Z	frequenceBodyGyroStd-X	frequenceBodyGyroStd-Y	frequenceBodyGyroStd-Z	frequenceBodyGyroMeanFreq-X	frequenceBodyGyroMeanFreq-Y	frequenceBodyGyroMeanFreq-Z	frequenceBodyAccMagMean	frequenceBodyAccMagStd	frequenceBodyAccMagMeanFreq	frequenceBodyBodyAccJerkMagMean	frequenceBodyBodyAccJerkMagStd	frequenceBodyBodyAccJerkMagMeanFreq	frequenceBodyBodyGyroMagMean	frequenceBodyBodyGyroMagStd	frequenceBodyBodyGyroMagMeanFreq	frequenceBodyBodyGyroJerkMagMean	frequenceBodyBodyGyroJerkMagStd	frequenceBodyBodyGyroJerkMagMeanFreq	
19	4	WALKING	0.278582	-0.014839948	-0.11140306	-0.440829971	-0.078826737	-0.58625281	0.9639997	-0.085854027	0.127764113	-0.9838265	-0.9679632	-0.9629681	0.07835291	2.96E-03	-7.68E-04	-0.297042613	-0.221165132	-0.75139138	-0.031798256	-0.072690528	0.080567716	-0.5009167	-0.665394093	-0.66260823	-0.11532156	-0.03934745	-0.055116685	-0.49234107	-0.80741994	-0.640454133	-0.312050574	-0.5276791	-0.312050574	-0.5276791	-0.36670088	-0.31691896	-0.497792201	-0.55311611	-0.68130404	-0.73014637	-0.42671945	-0.149399633	-0.63100547	-0.44723493	-0.101799451	-0.59419833	-1.39E-01	0.012347734	-0.078789264	-0.358883414	-0.279553392	-0.7289916	-0.297326072	-0.209900006	-0.772359087	-0.13528039	-3.86E-01	-0.325737504	-0.37338454	-0.68846006	-0.60138113	-0.5426468	-0.65465777	-0.71645848	-0.127154086	-0.274665638	0.149851535	-0.450804558	-0.651172628	0.38209641	-0.318587811	-0.3204587	0.111486485	-0.609285588	-0.5939372	0.069730125	-0.72432742	-0.75776808	0.265355374
20	4	WALKING_UPSTAIRS	0.2708767	-0.03198043	-0.11421946	-0.204933043	-0.066689911	-0.37213778	0.9462643	-0.232944305	0.084167538	-0.9584952	-0.923376	-0.9196195	0.05609719	2.34E-02	3.40E-03	-0.380488027	-0.281543175	-0.72649531	0.03938252	-0.085947168	0.084375384	-0.454431	-0.551185569	-0.36081105	-0.13147207	-0.03905088	-0.072249626	-0.5336668	-0.84072275	-0.556236585	-0.153703935	-0.2120123	-0.153703935	-0.2120123	-0.40092225	-0.43726148	-0.299779408	-0.51097413	-0.68697837	-0.75527046	-0.29448827	-0.117109161	-0.52465572	-0.173217219	-0.101434446	-0.34510982	-4.87E-01	-0.066234848	-0.230536707	-0.418304647	-0.297805187	-0.69010693	-0.396762585	-0.314525031	-0.762772175	-0.37965361	-3.93E-01	-0.319649297	-0.37106899	-0.6843102	-0.35076574	-0.4835487	-0.48982428	-0.42453351	-0.206073104	-0.491527601	-0.130134208	-0.276825498	-0.301005899	-0.108017172	-0.397406285	-0.49732409	0.049746274	-0.575794072	-0.55248963	-0.150274479	-0.74074923	-0.79420948	0.179517012
21	4	WALKING_DOWNSTAIRS	0.2799653	-0.009802009	-0.10677752	0.01119355	-0.218598325	-0.47918598	0.9477319	-0.062085277	0.148714809	-0.9552589	-0.932066	-0.9377538	0.09718627	5.64E-03	-7.29E-03	-0.145759709	-0.146242295	-0.62664699	-0.102838823	-0.070402595	0.05926395	-0.3702447	-0.699453537	-0.4984808	-0.09212827	-0.03484349	-0.049283644	-0.39599549	-0.81685824	-0.325780074	-0.049161673	-0.0819559	-0.049161673	-0.0819559	-0.22885141	-0.21685892	-0.346606293	-0.38057263	-0.59284301	-0.63707954	-0.07223923	-0.129606639	-0.49468345	0.039009826	-0.322531318	-0.5126943	-3.42E-01	0.213581745	0.047837567	-0.161632908	-0.172941629	-0.58391737	-0.208250062	-0.177202094	-0.668867334	-0.17911518	-1.81E-01	-0.169702261	-0.24029889	-0.71754584	-0.31830648	-0.414919	-0.69151837	-0.62165847	-0.127145377	-0.185485631	0.377074097	-0.019074335	-0.26364403	0.101078171	-0.175295287	-0.28042678	0.092623694	-0.42921337	-0.45767409	0.060029205	-0.62175246	-0.68547093	0.144436926
22	4	SITTING	0.2715383	-0.007163065	-0.1058746	-0.980309931	-0.890223981	-0.93220301	0.869303	0.21162254	0.110120481	-0.9814053	-0.9327271	-0.9509493	0.07845002	-1.09E-02	-1.22E-02	-0.976742196	-0.944596106	-0.97903877	-0.049443512	-0.089430061	0.101150335	-0.9701318	-0.95846812	-0.92797223	-0.09694948	-0.04184839	-0.048996435	-0.96989973	-0.98444136	-0.968804832	-0.93569482	-0.91440784	-0.93569482	-0.91440784	-0.97013228	-0.96254911	-0.926063314	-0.92889829	-0.98049046	-0.97580669	-0.9774625	-0.905782932	-0.95178374	-0.981908189	-0.889467349	-0.92699932	3.74E-02	0.078786009	0.012094266	-0.976845713	-0.944298391	-0.97515491	-0.978776912	-0.949293158	-0.981699448	0.21301992	-7.53E-02	0.012245577	-0.96058964	-0.96758365	-0.93377689	-0.9733331	-0.95412042	-0.93286835	0.109092658	-0.39474554	-0.145726034	-0.929002095	-0.91981571	0.028092111	-0.962500734	-0.96158452	0.227198015	-0.948769752	-0.92885055	-0.200084758	-0.97654776	-0.97626175	0.085934203
23	4	STANDING	0.2804997	-0.009489111	-0.09615749	-0.97692058	-0.861597379	-0.89688054	0.9561978	-0.075900906	0.166893826	-0.9729084	-0.9176135	-0.8994048	0.07213284	-6.53E-03	-2.12E-02	-0.972586542	-0.938354678	-0.9730542	-0.030644934	-0.061824851	0.075563643	-0.909688	-0.949227147	-0.90999504	-0.10305789	-0.04612572	-0.04907535	-0.94963388	-0.97606517	-0.957982019	-0.906478052	-0.89097668	-0.906478052	-0.89097668	-0.96337074	-0.95815948	-0.900982101	-0.88514432	-0.96761407	-0.96428278	-0.97349755	-0.889549205	-0.93164342	-0.978737638	-0.857380282	-0.88755432	6.21E-02	-0.066987505	-0.037782277	-0.972310894	-0.937624242	-0.96864841	-0.975706724	-0.944075309	-0.976229506	0.27221398	-1.26E-01	0.071105663	-0.90546416	-0.95599295	-0.91528096	-0.9124648	-0.94582584	-0.91665163	-0.274809641	-0.364372375	-0.223109155	-0.917614015	-0.895340042	-0.102971758	-0.956139284	-0.9600325	0.201262207	-0.914209166	-0.8871944	-0.286128312	-0.96447114	-0.96643022	0.060985002
24	4	LAYING	0.2635592	-0.015003184	-0.11068815	-0.954193739	-0.941714042	-0.96266731	-0.4206647	0.915165104	0.341531311	-0.9212	-0.9698166	-0.9761766	0.09344942	6.93E-03	-6.41E-03	-0.978302781	-0.942209488	-0.97851198	-0.009231564	-0.093012818	0.169720404	-0.9731024	-0.961109292	-0.96207376	-0.10501988	-0.03812304	-0.071215629	-0.9751032	-0.98685563	-0.98396536	-0.954557603	-0.93129222	-0.954557603	-0.93129222	-0.97009577	-0.96078643	-0.930236463	-0.94703178	-0.9850685	-0.98269821	-0.95880208	-0.938883374	-0.96750428	-0.952464881	-0.946380971	-0.96215445	-2.74E-01	0.366231449	0.201329592	-0.978542457	-0.943969987	-0.97538333	-0.980079293	-0.944366882	-0.980261236	0.18243648	9.87E-02	0.077021117	-0.96720374	-0.97218784	-0.96147926	-0.9750947	-0.9561825	-0.96580747	-0.066092182	-0.526889996	0.152886312	-0.939389701	-0.937187976	0.2416979	-0.962287125	-0.95803712	0.27402735	-0.96155666	-0.94710033	-0.25985197	-0.98360907	-0.98254363	0.202949382
25	5	WALKING	0.2778423	-0.017285032	-0.10774178	-0.294098534	0.076748403	-0.45702144	0.972625	-0.100440285	0.002476236	-0.9793484	-0.9615855	-0.9645808	0.08458888	-1.63E-02	8.32E-05	-0.302891025	-0.091039743	-0.61289532	-0.04889199	-0.069013525	0.08154355	-0.4908775	-0.50462203	-0.31870062	-0.08884084	-0.04495595	-0.04826796	-0.3576814	-0.57143812	-0.157682544	-0.158338674	-0.37717873	-0.158338674	-0.37717873	-0.28833302	-0.28224228	-0.355933084	-0.49217682	-0.44453249	-0.48919975	-0.28778261	0.009460378	-0.49025109	-0.297517355	0.042602683	-0.48305996	-3.22E-01	-0.002040511	0.024738973	-0.344954806	-0.181055554	-0.59049662	-0.32139032	-0.05452136	-0.633429996	-0.35937258	-5.34E-01	-0.344150925	-0.37266875	-0.51395172	-0.21312703	-0.5293928	-0.50268338	-0.42036708	-0.045860194	-0.019186012	0.167457819	-0.304992489	-0.519636926	0.149852522	-0.269481661	-0.30568538	-0.004972878	-0.484262829	-0.58974151	0.25062061	-0.54805357	-0.4556653	0.052733013
26	5	WALKING_UPSTAIRS	0.2684595	-0.032526976	-0.10747145	-0.045723778	0.185022459	-0.30893898	0.9368218	-0.265942569	-0.023203536	-0.95358	-0.9005117	-0.9214196	0.07954435	1.40E-02	-2.56E-02	-0.223896564	-0.125026613	-0.63836903	0.039519112	-0.117195552	0.042444282	-0.4433423	-0.440345826	-0.26545133	-0.14302969	-0.05598958	-0.05348954	-0.3052452	-0.63182205	-0.282154378	0.043556202	-0.13673638	0.043556202	-0.13673638	-0.24740348	-0.31018655	-0.235516929	-0.35468787	-0.47348817	-0.55798807	-0.16148534	0.072890316	-0.45747068	-0.004738197	0.165037631	-0.28925666	-4.28E-01	-0.122487324	-0.135264616	-0.28972547	-0.196817921	-0.60671746	-0.225327843	-0.105311153	-0.668825711	-0.39783558	-5.77E-01	-0.339640933	-0.2636151	-0.51660905	-0.13980139	-0.5016856	-0.40348639	-0.38037801	-0.061580336	-0.138063832	0.060813284	-0.169261525	-0.254091927	-0.020494854	-0.264674939	-0.37861668	0.1245133	-0.392564531	-0.44044505	-0.023400199	-0.57134414	-0.57248502	0.005786311
27	5	WALKING_DOWNSTAIRS	0.2935439	-0.008501075	-0.10031993	0.27504611	0.090763076	-0.32589144	0.9566494	-0.060757832	0.021677791	-0.9504909	-0.9123634	-0.9271927	0.1096506	1.38E-02	2.13E-02	0.03224155	0.047361231	-0.52265164	-0.06829457	-0.0707806	0.080655999	-0.4606468	-0.409134149	-0.22786904	-0.11014901	-0.07082966	-0.039965694	-0.41130222	-0.51459149	-0.034421747	0.211138854	0.20542238	0.211138854	0.20542238	-0.06375286	-0.02925705	-0.218029835	-0.36067831	-0.39719562	-0.45030321	0.09843201	0.079228069	-0.37474009	0.336554725	0.026826988	-0.35339785	-4.54E-01	0.036366239	-0.004372204	-0.036801215	-0.056803296	-0.49197995	0.011055933	0.09017201	-0.551178075	-0.35091162	-4.71E-01	-0.303523361	-0.2953451	-0.38248308	-0.03417503	-0.5149409	-0.43155278	-0.37470519	-0.008922866	-0.007642421	0.211555807	0.155742169	0.042853362	-0.013705507	0.009183943	-0.0897357	0.110968065	-0.349338415	-0.48414127	0.204633758	-0.45369725	-0.48712842	0.072381509
28	5	SITTING	0.2736941	-0.009900835	-0.1085403	-0.980945022	-0.904335121	-0.92609474	0.8807314	0.168445524	0.143006858	-0.9831375	-0.939943	-0.945009	0.07495774	-2.79E-03	3.39E-03	-0.97520485	-0.952786261	-0.97343653	-0.042235521	-0.083548408	0.082393445	-0.9662255	-0.950064068	-0.94063794	-0.08897477	-0.0454703	-0.048771473	-0.96603701	-0.97543391	-0.964878513	-0.937978323	-0.92093903	-0.937978323	-0.92093903	-0.96932016	-0.96575773	-0.934301647	-0.93141481	-0.97384829	-0.97039261	-0.97745081	-0.921434736	-0.94606422	-0.982590842	-0.90229153	-0.92184351	-2.09E-02	0.068459003	0.04031618	-0.976024951	-0.95423749	-0.96950133	-0.976530547	-0.954464442	-0.97602233	0.07573562	-1.32E-01	-0.064496073	-0.95711725	-0.95546036	-0.93800343	-0.9693904	-0.94757147	-0.94734648	0.125891359	-0.187706341	0.096683391	-0.936290605	-0.925669291	0.058607517	-0.964440302	-0.96654532	0.245936718	-0.944760322	-0.93474687	-0.005783501	-0.97159837	-0.9706754	0.081290133
29	5	STANDING	0.2825444	-0.007004186	-0.1021711	-0.968591816	-0.869439913	-0.86932732	0.9601887	-0.038710127	0.138638437	-0.9740882	-0.9319739	-0.9146085	0.07251899	-2.22E-03	-1.23E-02	-0.96264708	-0.931217141	-0.96383212	-0.03227119	-0.050987505	0.069094576	-0.9103952	-0.933738104	-0.90747156	-0.09222499	-0.03991082	-0.042222134	-0.94193004	-0.96117774	-0.944755343	-0.906104701	-0.8797738	-0.906104701	-0.8797738	-0.95686357	-0.94296205	-0.900671631	-0.86704171	-0.9584059	-0.94797072	-0.96450092	-0.890796361	-0.9150838	-0.970668409	-0.867933178	-0.85823139	-1.64E-02	-0.008944132	-0.028287523	-0.963059235	-0.931370209	-0.95843873	-0.965778921	-0.936202601	-0.968072301	0.15046308	-1.44E-01	-0.033363702	-0.9096618	-0.93937352	-0.90719084	-0.9127809	-0.93185781	-0.91678936	-0.178598411	-0.162944927	-0.109180364	-0.904641392	-0.886745171	-0.016942232	-0.941825903	-0.94360196	0.140971601	-0.904543922	-0.86891399	-0.157768871	-0.95228644	-0.94619646	-0.039313597
